parameter,"(32,32)[0]","(33,32)[0]","(32,33)[0]","(32,31)[0]","(31,32)[0]","(33,33)[0]","(33,31)[0]","(31,33)[0]","(31,31)[0]","(32,32)[1]","(32,32)[2]","(33,32)[1]","(32,33)[1]","(32,31)[1]","(31,32)[1]","(33,32)[2]","(32,33)[2]","(32,31)[2]","(31,32)[2]","(34,32)[0]","(32,34)[0]","(32,30)[0]","(30,32)[0]","(33,33)[1]","(33,33)[2]","(33,31)[1]","(31,33)[1]","(33,31)[2]","(31,33)[2]","(31,31)[1]","(31,31)[2]","(34,33)[0]","(33,34)[0]","(34,31)[0]","(31,34)[0]","(33,30)[0]","(30,33)[0]","(32,32)[3]","(31,30)[0]","(30,31)[0]","(32,32)[4]","(32,32)[5]","(32,32)[6]","(32,32)[7]","(33,32)[3]","(32,33)[3]","(33,32)[4]","(32,33)[4]","(33,32)[5]","(32,33)[5]","(32,31)[3]","(31,32)[3]","(33,32)[6]","(32,33)[6]","(32,31)[4]","(31,32)[4]","(32,31)[5]","(31,32)[5]","(32,31)[6]","(31,32)[6]"
-0.097,0.188895883,0.0894735,0.089315368,0.084854752,0.084718401,0.042839854,0.039302078,0.039171048,0.038483967,0.025253877,0.0250444,0.011768866,0.011750956,0.011120988,0.011100828,0.010550329,0.010533044,0.009873919,0.009852836,0.008028324,0.008000914,0.007133948,0.007107581,0.004969945,0.004964877,0.00459423,0.004579386,0.004539081,0.004521618,0.004393283,0.0043901,0.00383611,0.003829559,0.00342148,0.003404854,0.003208168,0.003191091,0.003223196,0.003226756,0.003219671,0.00277004,0.002715843,0.002687493,0.002666167,0.00133447,0.001332749,0.00130041,0.001297861,0.001255358,0.001252847,0.001244814,0.001241654,0.001238496,0.001236092,0.00121424,0.001212091,0.001185372,0.001183334,0.001160713,0.001159411
-0.098,0.188850176,0.089481182,0.08932218,0.084866171,0.0846999,0.042863421,0.039314887,0.0391676,0.03849599,0.025265945,0.025055644,0.011782472,0.011755811,0.01112712,0.01110877,0.010546544,0.010521395,0.009863308,0.009846383,0.00802981,0.007995905,0.007130253,0.007104885,0.004968847,0.00496273,0.004593414,0.004574588,0.004534902,0.004518978,0.004390497,0.004388507,0.003839275,0.003828971,0.0034224,0.003402096,0.003206477,0.003189711,0.003226756,0.003226803,0.003220761,0.002767209,0.002714626,0.002686228,0.002664482,0.001335487,0.001331754,0.001300716,0.001297778,0.001254253,0.001252488,0.001244128,0.00124182,0.001237882,0.001236493,0.001214568,0.001211785,0.001185217,0.001182655,0.001160804,0.001158678
-0.1,0.188861468,0.08946272,0.089329676,0.084820511,0.084756552,0.042869087,0.039269658,0.039184594,0.038508275,0.025267536,0.025051767,0.011769887,0.011763358,0.011125957,0.011108291,0.010540375,0.010529239,0.009865198,0.009849226,0.008023364,0.008000866,0.007126352,0.007110612,0.004969301,0.004963973,0.004587896,0.004579379,0.004532871,0.004519677,0.00439324,0.00438923,0.003838083,0.00383287,0.003415799,0.003404211,0.003202146,0.003191137,0.003225823,0.003227971,0.003223073,0.002767554,0.002714863,0.002686445,0.002664966,0.001333689,0.001333557,0.001300548,0.001297479,0.001254507,0.001252288,0.001244568,0.001241535,0.001237719,0.001236442,0.00121351,0.001213018,0.001184636,0.001183455,0.001160106,0.001159367
-0.102,0.188868837,0.089460231,0.08935264,0.084845174,0.084706071,0.042890861,0.039267827,0.039156941,0.03850972,0.025262714,0.025044783,0.011776157,0.0117546,0.011118746,0.011107488,0.010548436,0.010528138,0.009862153,0.009852679,0.008028263,0.008003631,0.007128086,0.0071077,0.004972605,0.004967089,0.004590804,0.00457593,0.004530955,0.004520766,0.004393087,0.004390339,0.003843638,0.003836057,0.003416844,0.003401334,0.003201044,0.0031884,0.003224626,0.003229201,0.003224742,0.002768183,0.002715413,0.002686666,0.002665208,0.001335442,0.001332148,0.001300133,0.001298515,0.00125411,0.001253234,0.001243144,0.001242975,0.001238134,0.001236801,0.001214322,0.00121185,0.001185239,0.001182929,0.00116058,0.001158725
-0.103,0.188873883,0.089489671,0.089326317,0.084836417,0.084711185,0.04290405,0.039259441,0.039138539,0.038516134,0.025268835,0.025044867,0.011774591,0.011758341,0.011122698,0.01110298,0.010545095,0.01053036,0.009870083,0.009845115,0.008030292,0.008000974,0.007129706,0.007103249,0.004973698,0.00496873,0.004589712,0.004575095,0.004535189,0.004516377,0.004394495,0.004390475,0.003845598,0.003838484,0.003415219,0.003398723,0.003200829,0.003184222,0.003224747,0.003230673,0.003223957,0.002768411,0.002714894,0.002686607,0.002664869,0.00133544,0.001333234,0.001300881,0.001298164,0.001255361,0.001252343,0.001246478,0.001242218,0.001238525,0.001236362,0.001214204,0.001211895,0.001184872,0.001183054,0.001159864,0.0011588
-0.114,0.188874847,0.089560912,0.089364043,0.084801937,0.08463355,0.043038936,0.039207351,0.039048078,0.038539611,0.025275468,0.025032672,0.011785414,0.011764447,0.011118996,0.011093518,0.010554123,0.010534098,0.009863235,0.009831932,0.008045284,0.008009354,0.007123322,0.007087701,0.004985304,0.004982135,0.004585732,0.004567255,0.00452825,0.004504883,0.004393338,0.004387853,0.003867647,0.003858501,0.00340873,0.003387842,0.00319026,0.003167777,0.003225756,0.003235976,0.003226628,0.002767008,0.002715721,0.002685363,0.002664494,0.001336434,0.001334087,0.001302039,0.001298784,0.001255961,0.00125255,0.001244534,0.001239798,0.00123966,0.001236526,0.001213471,0.00121063,0.001184579,0.001182322,0.001158426,0.001157255
-0.117,0.188880683,0.089599287,0.089348929,0.084773678,0.084628588,0.043076988,0.039188157,0.039015449,0.038548361,0.025279233,0.025026686,0.011785967,0.011769174,0.011121733,0.011089044,0.010556042,0.01053845,0.009865645,0.009828176,0.008052188,0.008009427,0.007118488,0.007083593,0.004991204,0.004984868,0.004583812,0.004567086,0.004528945,0.004500641,0.004397393,0.004386546,0.00387488,0.003864409,0.003406233,0.003384232,0.003186496,0.003162374,0.003227234,0.003237631,0.003226925,0.002767605,0.002715766,0.002684905,0.002664584,0.001335523,0.001335472,0.001303253,0.001297778,0.00125718,0.001252172,0.001247088,0.001238723,0.001239825,0.001236537,0.0012126,0.001210481,0.001184181,0.001182566,0.001157662,0.001157054
-0.122,0.18887201,0.089600788,0.089377998,0.084788455,0.084590911,0.043130365,0.039165224,0.038979283,0.038572987,0.025284183,0.025024368,0.011795675,0.011767052,0.011117673,0.011091993,0.010557834,0.010533051,0.009857014,0.009827264,0.00805421,0.008010499,0.007116386,0.007079358,0.004993157,0.004990424,0.004582273,0.004560746,0.004522634,0.004497812,0.004394371,0.004389965,0.003883657,0.003871519,0.003402669,0.003378063,0.003180776,0.003156924,0.003227381,0.003240709,0.003230884,0.002766159,0.002715809,0.002684094,0.002664104,0.001337043,0.001334398,0.001302349,0.001298768,0.001256525,0.001252822,0.001243917,0.001239261,0.00123974,0.001236759,0.001212928,0.001209561,0.001184687,0.001181787,0.001157675,0.001155959
-0.129,0.188876306,0.089646108,0.089482894,0.084700086,0.084522184,0.043259215,0.039095844,0.038941951,0.038552002,0.025285796,0.025014612,0.011803592,0.0117765,0.01110379,0.011083193,0.010567615,0.01054381,0.009842086,0.009822079,0.008066197,0.008032179,0.007099508,0.007068451,0.005007032,0.005005024,0.004577436,0.00455859,0.004513587,0.004495185,0.004389078,0.004385824,0.00390378,0.003893567,0.003396111,0.003375782,0.003167721,0.003148488,0.003226256,0.003237934,0.003229999,0.002765932,0.002716632,0.002683381,0.002663768,0.001338814,0.001335699,0.001303473,0.001300556,0.001256836,0.001254563,0.001241446,0.001238688,0.001240548,0.001238119,0.001211734,0.001208591,0.001183731,0.001180806,0.001156264,0.001154307
-0.132,0.188884486,0.089730532,0.089446628,0.084727648,0.084444103,0.043310163,0.039116179,0.03886541,0.038552399,0.025288734,0.025009096,0.011812867,0.011772773,0.01110722,0.011070665,0.010578486,0.010542195,0.009848125,0.00980895,0.008083737,0.008026653,0.007105667,0.007050133,0.005013017,0.005011751,0.004581959,0.004551202,0.004518215,0.004486386,0.004388499,0.004383055,0.003915847,0.003899326,0.003400108,0.003366283,0.003169784,0.003135764,0.003226351,0.003240832,0.003226264,0.002766177,0.002717043,0.002683123,0.002663442,0.001340821,0.001335759,0.001305208,0.001300209,0.001258356,0.001254059,0.001242512,0.001237354,0.001241864,0.001237646,0.001212189,0.0012069,0.001184071,0.001179641,0.001155954,0.001153102
-0.15,0.188895386,0.089768566,0.089461483,0.084702025,0.084416245,0.043481405,0.038997522,0.038730054,0.038652774,0.025303728,0.024987938,0.01181515,0.011778882,0.011106037,0.01106336,0.010578657,0.010544002,0.009844499,0.009799378,0.008087493,0.008033795,0.007101001,0.007041225,0.005028562,0.005026345,0.004571691,0.004540927,0.004506311,0.004469995,0.004396059,0.004387375,0.00394227,0.003929464,0.003381377,0.003346922,0.003151222,0.003113732,0.003226166,0.003256933,0.003240227,0.002764167,0.002718265,0.002681064,0.002662594,0.001341123,0.001337179,0.00130555,0.00130032,0.001258837,0.001253732,0.001242617,0.001235748,0.00124271,0.001237477,0.001211588,0.001206343,0.001183748,0.00117912,0.001154144,0.00115168
-0.156,0.188904336,0.089755578,0.089509233,0.084675029,0.084404006,0.043544328,0.038940031,0.038702817,0.038673593,0.025305322,0.024978519,0.011817237,0.011779424,0.011098136,0.011064773,0.010583594,0.010547218,0.009836268,0.00980434,0.008088638,0.008040332,0.007092294,0.007043346,0.005036504,0.005031378,0.004568476,0.004539026,0.004498041,0.004469311,0.004396647,0.004390606,0.003952536,0.003939832,0.003374465,0.003342432,0.003141216,0.003109686,0.003226202,0.003258091,0.003245325,0.002764002,0.002719319,0.002680429,0.002662978,0.001342051,0.00133671,0.001304912,0.001300717,0.001258012,0.001254815,0.001240919,0.001236384,0.001242388,0.001238183,0.001210996,0.001206257,0.001183614,0.001179043,0.00115397,0.001150576
-0.158,0.188896992,0.089748613,0.089494255,0.084674596,0.084427851,0.043553755,0.038922958,0.038692574,0.038706391,0.025305608,0.024974657,0.011814321,0.01177961,0.011100633,0.011066511,0.010578439,0.01054466,0.009836437,0.009802394,0.008086153,0.00803761,0.007093693,0.007047695,0.00503692,0.005031575,0.00456562,0.004537653,0.004496544,0.004466083,0.004399268,0.004391167,0.003954737,0.003942501,0.003371287,0.003339514,0.003139423,0.003108637,0.003226097,0.003263355,0.003251956,0.002763056,0.002719367,0.002680055,0.002662618,0.001341255,0.001336828,0.001304897,0.001299991,0.001258028,0.00125415,0.001241379,0.001235835,0.001242392,0.00123805,0.0012111,0.001206696,0.001183475,0.001179151,0.001153984,0.001151019
